ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Bacchus,https://portal.prizepapers.de/ship/prizepapers_ship_00b6906d-2f47-47f2-9c9a-4ed7fe2b66f5/1/-/,3effa5d4-e175-4721-bf53-522ffd3bc9b9,"Roger Robbins, master of the 'Bacchus' in 1793-1794","Gonaives, St. Domingue",North Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/f3c9d85c-96f3-43e3-bf54-5f325785a7ad', 'HCA 45/19/18']]"
Gladiator,https://portal.prizepapers.de/ship/prizepapers_ship_42e92dd3-76e9-4ce1-aa36-2dc1855adc23/1/-/,cf8eb54c-7960-44ed-84e0-55cdefbe146b,"Stephen Dumarsq Turner, master of the Gladiator 1801",Ensenada,,Boston,Journey interrupted by capture,
Eagle,https://portal.prizepapers.de/ship/prizepapers_ship_1e8ad0f7-f4b5-4400-8014-337f1dec4968/1/-/,22015c55-d1f7-47a6-b778-15ba1a548af7,"Hugh Manning, master of the Eagel in 1793",Charleston,North Atlantic Ocean,Jacmel,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/49da0c0b-5bec-4d05-82c7-439b47bb457e', 'HCA 45/19/1']]"
Industry,https://portal.prizepapers.de/ship/prizepapers_ship_6f9c59d5-31cd-490a-9ad3-59291ea10c79/1/-/,f59cde89-7522-43a0-9431-4305ca48bef7,"Joseph Poole, Captain of the ship Industry, 1794",Martinique,Caribean Sea,"Roseau, Dominica",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/39093b89-ede8-49e6-a3fc-f8c110da769d', 'HCA 45/22/2']]"
Echo,https://portal.prizepapers.de/ship/prizepapers_ship_14b18116-2675-4ef6-b498-300ec2558d48/1/-/,c0806b97-3fa3-41eb-86a1-faa7ccfc271b,"William Nicholl, master of the Echo in 1793",Miragoâne,North Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/f9dad057-6f5f-4649-863a-2b4b72cf6e37', 'HCA 45/23/1']]"
Lewis,https://portal.prizepapers.de/ship/prizepapers_ship_7a64b30e-93cd-4b6f-9f7e-1d9458a917cd/1/-/,fd4b9eb2-d7d2-4a9a-aaa1-8eb95ec31aec,"William Dickson, master of the ""Lewis"" 1797/98",New York City,,Aux Cayes,Journey interrupted by capture,[]
St Johannes,https://portal.prizepapers.de/ship/prizepapers_ship_d9ae7e69-d0ba-4e6e-bc6f-5d151f4ec794/1/-/,da8afd68-b539-4c5b-bf49-9907251f6b30,Joachim Abraham Asmus Doltz,Klaipėda,,Barcelona,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/0df6ae68-df43-4a51-a44e-9b336940af07', 'HCA 45/41/3']]"
Philadelphia Packet,https://portal.prizepapers.de/ship/prizepapers_ship_b14328b5-14d8-425c-8c0f-c5b1c6623db7/1/-/,a5aa23a4-a59e-4bc4-a752-f25b3610cb9e,"William Hawks, master of the 'Philadelphia Packet' in 1794",Philadelphia,Dominica,Martinique,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/38dd381d-684d-4251-ab59-1b919b930f32', 'HCA 45/24/3']]"
Soe Plougen von Nieblom,https://portal.prizepapers.de/ship/prizepapers_ship_b46d0596-8060-45eb-b8c5-ed4b47827e56/1/-/,aad316e5-f5f0-40eb-8282-53cc6bf62832,"Volkeet Paulos De Harder, master of the ""Soe Plougen von Nieblom"" in 1793",Copenhagen,The Channel,Bilbao,Journey interrupted by capture,
Nye Prove,https://portal.prizepapers.de/ship/prizepapers_ship_400d1e7f-744a-410b-be65-60db1eea9369/1/-/,a9706a5b-a40d-434f-bd0c-96b191962d30,"Peter Hansen, Captain of the ship Nye Prove, 1794",Glückstadt,North Atlantic Ocean,Lisbon,Journey interrupted by capture,[]
Neuter,https://portal.prizepapers.de/ship/prizepapers_ship_14c025dc-18e0-451c-b742-12c7a610b967/1/-/,db1e41eb-ef8a-405d-8d4a-009e192bc78d,"Nehemiah Lovell, master of the 'Neuter' in 1794",Guadeloupe,Montserrat,Boston,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/5fb72a41-fb0b-4973-94f5-830cc39924cb', 'HCA 45/24/4']]"
Sukey,https://portal.prizepapers.de/ship/prizepapers_ship_ddc37786-97e0-4505-9562-c837952282aa/1/-/,49fbc754-08b2-459b-a66b-316650f1de60,"Anthony Andalle, master of the ship ""Sukey"" 1793",Philadelphia,North Atlantic Ocean,Port-au-Prince,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/091b8d66-554a-4771-8f5b-fdf37a3e5032', 'HCA 45/41/5']]"
Eliza,https://portal.prizepapers.de/ship/prizepapers_ship_5f9f35a1-c9a4-4abd-b73a-92ed0c99e5b0/1/-/,07e28606-592c-4b0f-b2cc-45c7281f00d3,"Thomas Pearce, master of the MAry in 1794",Curaçao,North Atlantic Ocean,Amsterdam,Journey interrupted by capture,[]
States General,https://portal.prizepapers.de/ship/prizepapers_ship_87575258-7073-4b3a-981e-dbcef01d69e6/1/-/,f301b7e6-802c-4f03-81b6-0f1cba8ab7ed,"Peter Dardelie, master of the ""States General"" in 1793",Cap Français,North Atlantic Ocean,Môle-Saint-Nicolas,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/5924788c-7395-4b1d-9f56-0d8fbda13e82', 'HCA 45/17/1']]"
Schwalbe,https://portal.prizepapers.de/ship/prizepapers_ship_3561637d-02c1-4c30-9c85-3f1eb01b2ebd/1/-/,2dbbdbf2-9577-454b-97b2-a5bb9e2b1de6,"Peter Boijsen Smit, master of the ""Schwalbe"" in 1793",Randers,North Atlantic Ocean,Brest,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/3a933915-7219-4e46-a6b9-4b0afbd32e65', 'HCA 45/17/2']]"
Hercules,https://portal.prizepapers.de/ship/prizepapers_ship_c61411f6-c55f-4010-96ed-7bd6627f161b/1/-/,bebef813-4a78-403c-9074-fd9c9c96fa31,"Claes Japsers, master of the ""Hercules"" in 1793",Hamburg,North Atlantic Ocean,Le Havre,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/f9db383c-bc0d-43c6-8628-e9c6ad9c90ed', 'HCA 45/17/3']]"
General van Huth,https://portal.prizepapers.de/ship/prizepapers_ship_23fe20d2-99b3-413a-a740-2e568790f59d/1/-/,ed818b33-fd5c-47a5-99aa-62adbc2b4718,"Jan Meinert Meinertz, master of the ""General van Huth"" in 1793",Hamburg,European North Sea,Marseille,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/1d86815e-17f0-4181-b027-0de57e52e261', 'HCA 45/17/4']]"
Anna Christina,https://portal.prizepapers.de/ship/prizepapers_ship_495bfa3b-8d84-4578-8a55-4a1a3a28fd52/1/-/,7edd3a16-75c2-4fb9-8ded-fb67a978fe13,"Andreas Hansen, master of the ""Anna Christina"" in 1793",Copenhagen,Randers,,Journey,
San Jago Apostol,https://portal.prizepapers.de/ship/prizepapers_ship_f7a68f97-376c-4c70-bfec-2a459b5226df/1/-/,0fbd574d-763e-44ed-a0f8-ee3d8d4dfe84,"Manuel Calbo, master of the ""San Jago Apostol"" in 1793",Callao,North Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Hannah,https://portal.prizepapers.de/ship/prizepapers_ship_100795b4-05c8-4c9b-966b-3b44dc61fc48/1/-/,d1c3e1df-88c4-4476-a54b-07def84459ed,"Moses Brown, master of the Hannah in 1795",Guadeloupe,North Atlantic Ocean,Newburyport,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/be57479b-60ce-4b4f-b9e3-fe4d7ef17d21', 'HCA 45/23/2']]"
Dove,https://portal.prizepapers.de/ship/prizepapers_ship_a57882fb-9b68-49cc-a2c6-2af392fd773f/1/-/,632f4fbb-66d2-447d-9b24-d13661306f67,"Michael Burke, master of the 'Dove' in 1794",Saint Domingue,Tortola,Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/39b3964a-0a0e-47f9-bd9f-cd70790662ba', 'HCA 45/19/11']]"
Soldat Patriote,https://portal.prizepapers.de/ship/prizepapers_ship_e31c4367-fab9-4510-beca-07e5a015f4dd/1/-/,6bfca202-ef10-43a9-b449-767f45e50ba5,"Giran Deau, master of the 'Soldat Patriote' in 1793",,Dominica,,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/cd3044d0-f69f-4a96-ad9d-c0fc4b019449', 'HCA 45/20/2']]"
Betsey,https://portal.prizepapers.de/ship/prizepapers_ship_0fdc77ef-2219-446a-89fe-9b47f773f3be/1/-/,255b636c-9a71-4ae3-b9a2-435bd97a57ad,Jacob H Betterton (master of the Betsey),Saint Domingue,Caribean Sea,Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/f12e42b6-37fa-4429-8a88-886715ccfdc6', 'HCA 45/20/3']]"
Harriet,https://portal.prizepapers.de/ship/prizepapers_ship_bd9baf33-c443-4162-b03e-5e6abe729f4f/1/-/,350e7f5c-9a97-4de2-b7e1-87359c0182b3,"Turpin Smith, master of the Harriet in 1794",Jacmel,North Atlantic Ocean,Providence,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/5e24179d-faac-48a1-a310-82468997a7e4', 'HCA 45/23/3']]"
Mary,https://portal.prizepapers.de/ship/prizepapers_ship_7d0c53c3-ebf7-4da9-8642-015a066d7eef/1/-/,915807b7-c601-4ce3-8074-9a11ad399d2c,"Simeon Hussey, master of the Mary in 1794",Baltimore,North Atlantic Ocean,Jérémie,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/2fb50b4e-5643-4cc4-9c59-4142e6438c91', 'HCA 45/23/4']]"
Two Brothers,https://portal.prizepapers.de/ship/prizepapers_ship_ce29f3c6-f13c-4c8a-b3df-eb288f0b1472/1/-/,70d89e60-8f1b-4bd6-be5a-3cd61c7b8eed,"Benjamin Calley, master of the Two Brothers in 1793",Jacmel,North Atlantic Ocean,Newburyport,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/6a8cb8d9-daca-43ce-be5a-d2862d73b40e', 'HCA 45/23/5']]"
Betsey and Polly,https://portal.prizepapers.de/ship/prizepapers_ship_85f77f94-f095-4bcb-9e0d-07e9500c88bf/1/-/,031d4ac2-80d5-47dd-bd95-851c3945fc9b,"Jonathan Bowen, master of the Betsey and Polly in 1793",Port-au-Prince,North Atlantic Ocean,Baltimore,Journey interrupted by capture,[]
Hope,https://portal.prizepapers.de/ship/prizepapers_ship_8970ae20-3e23-4b0c-b248-52dc47fe2663/1/-/,a2a3ba15-a1d0-4e04-9558-0b1490809343,"Henry Bates, master of the ""Hope"" in 1795",Guadeloupe,North Atlantic Ocean,Boston,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/88f6cab5-df7b-4961-badb-f15f5d2b0462', 'HCA 45/25/1']]"
Betsy,https://portal.prizepapers.de/ship/prizepapers_ship_5e9b9d91-7b1c-4331-a8f1-5f90c491113e/1/-/,1d855f53-0282-47c0-b77d-8a1dce6eb126,"James Starr, master of the ship ""Betsy"" in 1794",Saint Domingue,North Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/bce80662-a42e-4e8e-9c98-c449aae7ca3e', 'HCA 45/25/2']]"
Olive Branch,https://portal.prizepapers.de/ship/prizepapers_ship_6c2cbe47-3a33-4b2a-b5b1-b817c39be4d5/1/-/,a03999e0-84ce-4f35-8796-c54aec6dc0fb,"William Turner Provoost, master of the Olive Branch in 1795",Amsterdam,North Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/0091e292-d87d-4227-bc4d-8e7cd79c273a', 'HCA 45/23/7']]"
America,https://portal.prizepapers.de/ship/prizepapers_ship_07dddfab-0b51-4d0b-aa9c-1179cbea8123/1/-/,dc83fc70-71c5-4066-b1b2-f8f838bb2675,"Tristram Gardner, master of the America in 1793",Delagoa Bay,Atlantic Ocean,Nantucket,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/b1142adc-e12c-4357-8b22-64b3bee58c70', 'HCA 45/23/8']]"
Lady Washington,https://portal.prizepapers.de/ship/prizepapers_ship_ac5afb95-cdaf-475b-8b26-5963b6cc344b/1/-/,e371ad9e-4557-4ca6-9354-d2badd1f8659,"Ephraim Lombard, master of the Lady Washington in 1794",Boston,North Atlantic Ocean,Martinique,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/39b92c20-cdca-4e91-99be-4e414c5a5bd4', 'HCA 45/23/9']]"
Hedwig Charlotta,https://portal.prizepapers.de/ship/prizepapers_ship_96490799-5577-4c54-bc9a-835f0285089d/1/-/,81ec2f71-1d27-4464-ba47-258e3016fa18,"Samuel Jacobson, master of the 'Hedwig Charlotta' in 1793",Bordeaux,North Atlantic Ocean,Ostend,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/5278c8f7-d243-4cf3-81e7-093acf2a31db', 'HCA 45/19/12']]"
Saint Jean de Lone,https://portal.prizepapers.de/ship/prizepapers_ship_fee30709-e0cd-45ab-bbf0-d0fcfa724a1f/1/-/,1c130375-8df9-4817-8182-170cc50d989e,"Marin Voisin, master of the 'Saint Jean de Lone' in 1793",Yanam,Madras,,Journey,
Mercurius,https://portal.prizepapers.de/ship/prizepapers_ship_406af747-5597-415b-96a6-22b06111f580/1/-/,a513310d-247b-425b-aa0d-62a7ce754180,"Ditlev Freuchen, master of the ""Mercurius"" in 1793",Dunkirk,River Thames,Bordeaux,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/7be525e6-97be-49ef-a76d-e6c7ad64df48', 'HCA 45/17/10']]"
San Buenaventura y la Concepcion,https://portal.prizepapers.de/ship/prizepapers_ship_1f53cb8c-7b63-40a3-8dd1-211ec212b362/1/-/,eb560b64-0cba-49f4-a1b8-b182ca9728f5,"Ignacio Tramujas, master of the ""San Buenaventura y la Concepcion"" in 1793",Vera Cruz (Portugal),North Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Henrietta,https://portal.prizepapers.de/ship/prizepapers_ship_059499c2-8c69-4951-aee5-eff9f2713de5/1/-/,a2ab0b8e-16f4-4a13-aaac-4d39e4aad1ab,"John Johnson, master of the ship Henrietta, 1795",Bordeaux,The Channel,Dunkirk,Journey interrupted by capture,[]
Nuestra Senora de Balbanuz,https://portal.prizepapers.de/ship/prizepapers_ship_7e375d08-43aa-499e-b145-1f66f7147e8d/1/-/,368d96d6-5a50-4c14-8b98-724fde2eb38d,"Francisco Ramon Girau, master of the ""Nuestra Senora de Balbanuz"" in 1793",Vera Cruz (Portugal),North Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Eenigheid,https://portal.prizepapers.de/ship/prizepapers_ship_c2deb121-6823-40a8-8335-22887b96bcbd/1/-/,70cd14f3-1837-4a93-bb54-aa8bb4ade187,"Thomas Liborius Stricker, master of the ""Eenigheid"" in 1793",Rotterdam,Dover,Nantes,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/52418b4d-f525-4212-b445-91a3c6810208', 'HCA 45/17/13']]"
Providence,https://portal.prizepapers.de/ship/prizepapers_ship_d34ac3b4-647e-4bcf-b888-7f1fad6eddb2/1/-/,4b11b7d6-871f-492d-bba5-9e7ba7180718,"Lars Torkelsen, master of the ""Providence"" in 1793","Mandal, Norway",North Sea,Dunkirk,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/539db8a9-39bf-42d7-a344-e448a103f5e4', 'HCA 45/17/14']]"
Ospray,https://portal.prizepapers.de/ship/prizepapers_ship_239b44ff-2768-45a4-bc5d-93f35f752d58/1/-/,b4de96a2-369d-4d63-a15e-a689337ff629,"Benjamin Paddock, master of the ""Ospray"" in 1793",Dunkirk,Brazil,,Journey,
Pomona,https://portal.prizepapers.de/ship/prizepapers_ship_2973c9b7-93ae-42c3-ba54-621b24d06d37/1/-/,f16748f3-6b34-4a36-a440-1c88a7a358fc,"Joseph Crockett, master of the 'Pomona' in 1795-1797",Philadelphia,Atlantic Ocean,Amsterdam,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/22924897-6bb3-45f7-95c3-d1fb6589f4bc', 'HCA 45/20/4']]"
Convention,https://portal.prizepapers.de/ship/prizepapers_ship_c89ccca7-278c-4170-b3df-ac56ce51e620/1/-/,43ced65c-e7ba-4fa0-97e4-09fec6069b91,Michel Papin (master of the Convention in 1793),Nantes,Congo River,Congo River,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/95067ecb-09ce-4e15-8fb1-8f31ce4f0aab', 'HCA 45/17/17']]"
Freedom,https://portal.prizepapers.de/ship/prizepapers_ship_dc9f74da-bbf2-4ae0-9469-1c64c32f328e/1/-/,3d12c264-d9a9-45bc-891b-d3f0651721f2,"Robert George Burchan, master of the Freedom in 1794",Cayenne,Curaçao,,Journey,
Diana|Vesta,https://portal.prizepapers.de/ship/prizepapers_ship_ff39087e-d294-4dd5-bee0-a1d78686fa1a/1/-/,d413535e-11fc-47b1-bee0-e80083d26542,Niels Bruntland Randulff (master of the Diana in 1794),Christiansand,North Sea,Dunkirk,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/3d90d9c8-9e48-4f62-93fb-c8413c422614', 'HCA 45/20/6']]"
Perserverance,https://portal.prizepapers.de/ship/prizepapers_ship_d20ae62f-5a98-4878-8f52-50432ba927f9/1/-/,83c61e48-4afb-47ef-a919-a278e386cd2c,"Richard Mabb, master of the Preserverance in 1794",Cádiz,North Atlantic Ocean,Amsterdam,Journey interrupted by capture,
Columbus,https://portal.prizepapers.de/ship/prizepapers_ship_ca62cb5e-2aca-4729-a5bf-87164c4e1be8/1/-/,3889407f-27da-4268-8769-75c439c97d87,"John McEwen, master of the ""Columbus"" in 1793",Lisbon,North Atlantic Ocean,Le Havre,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/c60c8d59-0542-463f-b04c-8fc491feb73a', 'HCA 45/17/16']]"
Handelsmann,https://portal.prizepapers.de/ship/prizepapers_ship_3107993d-0c5e-4074-9fa4-5a85ea12dbb8/1/-/,4e2d515b-14bb-46fc-989e-af4c4189dbf6,"Andreas Christiansen Harboe, master of the ""Handelsmann"" in 1793",Le Havre,North Atlantic Ocean,St. Domingue (-1804),Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/70bf2803-bcef-4e70-952e-0643902c7e40', 'HCA 45/17/18']]"
Rising Sun,https://portal.prizepapers.de/ship/prizepapers_ship_80f1814e-0d4f-40c9-82be-6c19270e5661/1/-/,568e0989-38db-4812-9551-a01c6d536a5b,"Thomas WIlkey, master of the 'Rising Sun' in 1793",Port-au-Prince,Kingston,Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/9d3a2793-164e-4221-9b0a-68090a71102d', 'HCA 45/20/15']]"
Pigou,https://portal.prizepapers.de/ship/prizepapers_ship_0677eeeb-cadd-4c1e-8362-5a9c3e4ac762/1/-/,65a9e5d9-3d09-4241-adf0-b35eba16c73b,"Jacob Lewis, master of the 'Pigou' in 1794",Mauritius,Chebucto,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/4a13ccde-4026-4f28-93c3-07907ac40a5c', 'HCA 45/20/17']]"
Harriet and Eliza,https://portal.prizepapers.de/ship/prizepapers_ship_9d5f0d30-0266-4577-ad57-17816c32b84f/1/-/,2a654841-3463-449f-a598-b3c8f20acd36,"Andrew Sleuman, master of the 'Harriet and Eliza' in 1794",New York City,Chebucto,San Sebastián,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/c7a01f38-18e8-4dd1-9a86-3097e8d0afd9', 'HCA 45/20/18']]"
Conde de Galbez,https://portal.prizepapers.de/ship/prizepapers_ship_a9d3455e-21f9-40cc-a56a-e212478b833d/1/-/,e46d57d8-2d90-404c-bb34-4c2db69d6be7,Juan Baptista Ybarra y Artaza,Montevideo,,Cádiz,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/816f8d3b-e737-46c8-bc76-4edeb6c4ec1e', 'HCA 45/25/26']]"
Governor Johnston,https://portal.prizepapers.de/ship/prizepapers_ship_2cf8ce1c-0fe4-4785-a4ce-9f843ccc8292/1/-/,727cf4a4-fe7b-4c42-8e39-70598a7f9dff,"Thomas Andrews, master of the Governor Johnston in 1794",Saint Barthélemy,Caribean Sea,Edenton,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/cc0512e5-5511-4fbd-8e1b-bad008fae076', 'HCA 45/25/9']]"
Essequibo Packet,https://portal.prizepapers.de/ship/prizepapers_ship_9afec342-07f1-44bd-972c-9766cf5f58c5/1/-/,67fe4999-9b8d-44cd-8220-a75d33dc16d9,"James Glover, master of the Essequibo Packet in 1794",Marie-Galante,North Atlantic Ocean,"Norwich, Connecticut",Journey interrupted by capture,"[['http://discovery.nationalarchives.gov.uk/details/r/C16978605', 'HCA 45/23/18']]"
Betsey,https://portal.prizepapers.de/ship/prizepapers_ship_40f665a7-888a-4cd0-be50-c36b84410c27/1/-/,91dfab02-05aa-4129-bc3b-458e2726a913,"John Murphy, Master of the ship ""Betsey"" 1794","Baltimore, Maryland",,Guadeloupe,Journey interrupted by capture,
Castor,https://portal.prizepapers.de/ship/prizepapers_ship_6eae1eda-bb62-4fee-b5f4-6f9f6b3b1f84/1/-/,6e34a151-f115-4e13-a35c-0df64b24747d,"Thomas Troubridge, commander of ""HMS Castor"" in 1794",North Atlantic Ocean,Cape Clear Island,,Journey interrupted by capture,[]
L'Etrusco,https://portal.prizepapers.de/ship/prizepapers_ship_94a5539a-66e2-4fd4-8b32-6e4e499c12ff/1/-/,39e7af2d-4715-4440-99e9-de6272710633,"Balthazar Giorgi, master of L'Etrusco in 1793",Canton,Ostend,Ostend,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/13d4eb30-bcc8-49df-9b8e-7b523c90be23', 'HCA 45/17/8']]"
Enterprize,https://portal.prizepapers.de/ship/prizepapers_ship_fbabcd4f-c459-479d-b348-9c0ab3082631/1/-/,a725a2d5-189b-4b82-b1cc-8aabbbe6ee00,"Michael Ashmenal, master of the Enterprize in 1793",Calcutta,Atlantic Ocean,Ostend,Journey interrupted by capture,[]
Delaware,https://portal.prizepapers.de/ship/prizepapers_ship_deb4d70a-8c78-4c50-8e9b-f8d0fa9836a8/1/-/,5ee88082-e798-46fb-85f9-cb4eeab29149,"James Art, master of the Delaware in 1794",Guadeloupe,Caribbean Sea,St Eustatius,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/650e2136-dd11-400b-8fec-5666a39ce90a', 'HCA 45/26/11']]"
Nancy,https://portal.prizepapers.de/ship/prizepapers_ship_cc5e2c99-53d6-4790-9a8c-fd5cf96951db/1/-/,ce6fd100-5df0-47e2-bd0c-709cc7d99f11,"William Ilsley, master of the ship Nancy,1794","Wilmington, North Carolina",North Atlantic Ocean,West Indies,Journey interrupted by capture,[]
Dispatch,https://portal.prizepapers.de/ship/prizepapers_ship_dc090835-fc2a-491e-91f0-70257641563f/1/-/,09021bf4-f1ff-4805-9571-6ec8bd62cb6d,"John Norris, Master of the Duke William in 1747, 1748","Aux Cayes, Saint Domingue",North Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/e7374756-b1e5-464d-b2be-db1ea67ee3c3', 'HCA 45/26/28']]"
Hercule,https://portal.prizepapers.de/ship/prizepapers_ship_7455cbd3-2160-497e-aaf8-2c93976c1d55/1/-/,9204c256-0b03-4a46-b8d2-a2d62bea9967,"Louis L'Heritier, master of the ship ""Hercule"" 1798",Atlantic Ocean,Atlantic Ocean,,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/72f3b5e8-fcc1-44fb-8fb0-30e170e9fb0d', 'HCA 45/26/35']]"
Grand Turk,https://portal.prizepapers.de/ship/prizepapers_ship_894832de-4466-4765-bdfa-37f783c9b456/1/-/,d7f3d692-62a4-41a1-b689-f9fbaac68c96,"Francis Mallaby, master of the ""Grand Turk"" in 1796",Dominica,North Atlantic Ocean,,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/3eb38468-a104-41c2-8df3-0367ca7aefb6', 'HCA 45/29/16']]"
Rachel,https://portal.prizepapers.de/ship/prizepapers_ship_ead8ac24-7455-41dd-8cc6-0922f0eb2b80/1/-/,bd69e7b8-58a3-4922-ab2b-7ac91550ae6a,"Andrew Lee, master of the Rachel in 1794",Marie-Galante,North Atlantic Ocean,"Gloucester, Massachusetts",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/93f2cac0-0746-476d-aa42-60dc248ca249', 'HCA 45/23/29']]"
Congress,https://portal.prizepapers.de/ship/prizepapers_ship_0c3cdf7c-1d67-4fa2-89cd-ebac87165b99/1/-/,8b9918f9-dfdc-4249-bed9-375dba66ac64,"Thomas Reid, master of the ship Congress,1796",Amsterdam,North Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/d85db658-9596-4978-ac18-3d34c6e98760', 'HCA 45/26/40']]"
Dorothea Eisabeth,https://portal.prizepapers.de/ship/prizepapers_ship_10787756-67ba-4b49-b3fd-2f4225dd4165/1/-/,7e049a35-628c-429d-98ac-960f56346630,"John Walker, master of the ship Dorothea Elizabeth,1794",Tranquebar,Indian Ocean,Mauritius,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/dbfd5740-370b-4c27-bc41-af0e9930235f', 'HCA 45/26/6']]"
Gustaf Adolph,https://portal.prizepapers.de/ship/prizepapers_ship_c9fc1f3b-fe58-416d-8ff2-01e9db586f88/1/-/,72cfc826-0db2-4b7d-bc80-86f2db677bbb,"Paul Sneidau, master of the ship Gustaf Adolph,1796",Surinam,Atlantic Ocean,Gothenburg,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/b4ed3eac-20d6-4abd-8516-20f820ae3d3b', 'HCA 45/26/9']]"
San Bernardo,https://portal.prizepapers.de/ship/prizepapers_ship_aa0df7c2-f6a6-426b-a2bf-dd968b60758d/1/-/,1c58c463-ca22-4e26-9810-93978089c5e4,"B de Laretta, master of the San Bernardo in 1795",Santander,Celtic Sea,London,Journey interrupted by capture,[]
Sally,https://portal.prizepapers.de/ship/prizepapers_ship_208add80-e67f-4a5c-8688-4cd80ab396b7/1/-/,bdc23d32-e8db-436b-88e4-be7ea350c451,"Hugh Smith, master of the ship ""Sally"" 1794",Philadelphia,Atlantic Ocean,Martinique,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/69bc9486-b7b5-424f-a766-16b69cad0182', 'HCA 45/24/12']]"
Contenta,https://portal.prizepapers.de/ship/prizepapers_ship_842a6d27-6100-4e07-bf9e-1b9e9fd6c111/1/-/,0bc5b94b-898f-4785-95eb-34ebd1bd98ec,"Mathias Groenwald, master of the 'Contenta' in 1797",Marseille,Chebucto,"Baltimore, Maryland",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/77b0e75c-166a-4014-9544-664f7de3f601', 'HCA 45/29/2']]"
